date,liborDailised,primeDailised
7.2866e+05,0.00023074,0.00032637
7.2866e+05,0.00022927,0.00032637
7.2867e+05,0.00022838,0.00032637
7.2867e+05,0.00022838,0.00032637
7.2867e+05,0.00022838,0.00032637
7.2867e+05,0.00022838,0.00032637
7.2867e+05,0.00022602,0.00032637
7.2867e+05,0.00022602,0.00032637
7.2868e+05,0.00022366,0.00032637
7.2868e+05,0.00022366,0.00032637
7.2868e+05,0.00022838,0.00032637
7.2868e+05,0.0002331,0.00032637
7.2868e+05,0.0002331,0.00032637
7.2868e+05,0.0002331,0.00032637
7.2868e+05,0.0002331,0.00032637
7.2868e+05,0.00023546,0.00032637
7.2869e+05,0.0002331,0.00032637
7.2869e+05,0.0002331,0.00032637
7.2869e+05,0.00023546,0.00032637
7.2869e+05,0.00023664,0.00032637
7.2869e+05,0.00023782,0.00034477
7.2869e+05,0.00023782,0.00034477
7.2869e+05,0.00023782,0.00034477
728700000,0.00023723,0.00034477
728700000,0.00023782,0.00034477
728700000,0.00023782,0.00034477
728700000,0.00023664,0.00034477
728700000,0.00023664,0.00034477
728700000,0.00023782,0.00034477
728700000,0.00023782,0.00034477
7.2871e+05,0.00023782,0.00034477
7.2871e+05,0.00023782,0.00034477
7.2871e+05,0.00023782,0.00034477
7.2871e+05,0.00023782,0.00034477
7.2871e+05,0.00023752,0.00034477
7.2871e+05,0.00023546,0.00034477
7.2871e+05,0.00023635,0.00034477
7.2872e+05,0.00023782,0.00034477
7.2872e+05,0.00023782,0.00034477
7.2872e+05,0.00023782,0.00034477
7.2872e+05,0.00023782,0.00034477
7.2872e+05,0.00023782,0.00034477
7.2872e+05,0.00023782,0.00034477
7.2873e+05,0.00023782,0.00034477
7.2873e+05,0.00023782,0.00034477
7.2873e+05,0.00023782,0.00034477
7.2873e+05,0.00023782,0.00034477
7.2873e+05,0.00023782,0.00034477
7.2873e+05,0.00023782,0.00034477
7.2873e+05,0.00023782,0.00034477
7.2873e+05,0.00023782,0.00034477
7.2874e+05,0.00023782,0.00034477
7.2874e+05,0.00023782,0.00034477
7.2874e+05,0.00023782,0.00034477
7.2874e+05,0.00023782,0.00034477
7.2874e+05,0.00023782,0.00034477
7.2874e+05,0.00023782,0.00034477
7.2875e+05,0.00023782,0.00034477
7.2875e+05,0.00023782,0.00034477
7.2875e+05,0.00023782,0.00034477
7.2875e+05,0.00023782,0.00034477
7.2875e+05,0.00023782,0.00034477
7.2875e+05,0.00024017,0.00034477
7.2875e+05,0.00024017,0.00034477
7.2875e+05,0.00023782,0.00034477
7.2876e+05,0.00023782,0.00034477
7.2876e+05,0.00023782,0.00034477
7.2876e+05,0.00023782,0.00034477
7.2876e+05,0.00023782,0.00034477
7.2876e+05,0.00023782,0.00034477
7.2876e+05,0.00023782,0.00034477
7.2877e+05,0.00023782,0.00034477
7.2877e+05,0.00023782,0.00034477
7.2877e+05,0.00023782,0.00034477
7.2877e+05,0.00023782,0.00034477
7.2877e+05,0.00023546,0.00034477
7.2877e+05,0.00023546,0.00034477
7.2877e+05,0.00023546,0.00034477
